ESTAÇÃO;DISPOSITIVO;QUANTIDADE;DATA
EST01;Aparelho IP Tipo I;115;2020-03-01
EST02;Aparelho IP Tipo I;13;2020-03-01
EST02;Aparelho IP Tipo II;3;2020-03-01
EST03;Softphone Tipo II;2025;2020-03-01
EST03;Aparelho IP Tipo I;40;2020-03-01
EST03;Aparelho Analogico;103;2020-03-01
EST03;Aparelho Digital;28;2020-03-01
EST04;Softphone Tipo II;1010;2020-03-01
EST04;Aparelho IP Tipo I;70;2020-03-01
EST04;Aparelho IP Tipo II;8;2020-03-01
EST05;Aparelho IP Tipo I;1160;2020-03-01
EST05;Aparelho IP Tipo II;55;2020-03-01
EST05;Softphone Tipo I;52;2020-03-01
EST05;Softphone Tipo II;92;2020-03-01
EST05;Aparelho Analogico;283;2020-03-01
EST05;Aparelho Digital;10;2020-03-01
EST06;Aparelho IP Tipo I;510;2020-03-01
EST06;Softphone Tipo II;97;2020-03-01
EST07;Aparelho IP Tipo I;150;2020-03-01
EST07;Softphone Tipo II;195;2020-03-01
EST07;Softphone Tipo I;60;2020-03-01
EST08;Aparelho IP Tipo I;131;2020-03-01
EST09;Aparelho IP Tipo I;38;2020-03-01
EST10;Aparelho IP Tipo I;140;2020-03-01
EST11;Aparelho IP Tipo I;85;2020-03-01
EST11;Softphone Tipo II;157;2020-03-01
EST11;Softphone Tipo I;10;2020-03-01
EST12;Aparelho Analogico;155;2020-03-01
EST12;Aparelho Digital;59;2020-03-01
EST13;Aparelho Digital;55;2020-03-01
EST14;Aparelho Digital;7;2020-03-01
EST15;Aparelho IP Tipo I;23;2020-03-01
EST16;Softphone Tipo II;120;2020-03-01
EST16;Aparelho IP Tipo I;444;2020-03-01
EST16;Aparelho IP Tipo II;45;2020-03-01
EST17;Aparelho Analogico;57;2020-03-01
EST17;Aparelho Digital;19;2020-03-01
EST18;Aparelho IP Tipo I;10;2020-03-01
EST19;Aparelho IP Tipo I;110;2020-03-01
EST20;Aparelho IP Tipo I;505;2020-03-01
EST21;Aparelho IP Tipo I;233;2020-03-01
EST22;Softphone Tipo II;345;2020-03-01
EST22;Aparelho IP Tipo I;480;2020-03-01
EST22;Aparelho IP Tipo II;45;2020-03-01
EST22;Softphone Tipo I;45;2020-03-01
EST22;Aparelho Analogico;195;2020-03-01
EST22;Aparelho Digital;14;2020-03-01
EST23;Aparelho Digital;188;2020-03-01
EST23;Aparelho Digital;26;2020-03-01
EST24;Aparelho Analogico;68;2020-03-01
EST24;Aparelho Digital;11;2020-03-01
EST25;Aparelho Digital;5;2020-03-01
EST26;Aparelho Analogico;8;2020-03-01
EST27;Aparelho IP Tipo I;700;2020-03-01
EST27;Aparelho IP Tipo II;80;2020-03-01
EST27;Aparelho IP Tipo III;21;2020-03-01
EST27;Softphone Tipo II;792;2020-03-01
EST27;Softphone Tipo I;33;2020-03-01
EST28;Aparelho IP Tipo I;80;2020-03-01
EST28;Aparelho IP Tipo II;20;2020-03-01
EST28;Softphone Tipo II;110;2020-03-01
EST29;Aparelho IP Tipo I;233;2020-03-01
EST29;Aparelho IP Tipo II;15;2020-03-01
EST29;Aparelho IP Tipo III;5;2020-03-01
EST29;Softphone Tipo II;240;2020-03-01
EST30;Aparelho Analogico;38;2020-03-01
EST30;Aparelho Digital;16;2020-03-01
