ESTACAO;QUANT_IP;QUANT_TDM;DATA
EST01;110;0;2021-06-01
EST02;11;0;2021-06-01
EST03;2029;131;2021-06-01
EST04;1029;0;2021-06-01
EST05;1250;234;2021-06-01
EST06;555;0;2021-06-01
EST07;230;0;2021-06-01
EST08;70;0;2021-06-01
EST09;32;0;2021-06-01
EST10;90;0;2021-06-01
EST11;50;0;2021-06-01
EST12;0;160;2021-06-01
EST13;0;52;2021-06-01
EST14;0;2;2021-06-01
EST15;22;0;2021-06-01
EST16;405;0;2021-06-01
EST17;0;150;2021-06-01
EST18;8;0;2021-06-01
EST19;100;0;2021-06-01
EST20;500;0;2021-06-01
EST21;230;0;2021-06-01
EST22;797;120;2021-06-01
EST23;0;200;2021-06-01
EST24;0;56;2021-06-01
EST25;0;2;2021-06-01
EST26;0;2;2021-06-01
EST27;800;0;2021-06-01
EST28;100;0;2021-06-01
EST29;250;0;2021-06-01
EST30;0;40;2021-06-01
EST31;250;0;2021-06-01
EST32;0;20;2021-06-01
EST33;0;2;2021-06-01
EST34;250;0;2021-06-01
EST35;551;5;2021-06-01
EST36;276;0;2021-06-01
EST37;0;2;2021-06-01
EST38;500;42;2021-06-01
EST39;1000;220;2021-06-01
EST40;0;2;2021-06-01
EST41;0;2;2021-06-01
EST42;2;8;2021-06-01
EST43;600;0;2021-06-01
EST44;2;0;2021-06-01
EST45;140;596;2021-06-01
EST46;400;0;2021-06-01
EST47;81;0;2021-06-01
EST48;0;27;2021-06-01
EST49;0;31;2021-06-01
EST50;0;52;2021-06-01
EST51;0;42;2021-06-01
EST52;0;52;2021-06-01
EST53;404;0;2021-06-01
